Delivery_person_Age,Delivery_person_Ratings,distance,order_preparation_time,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
31.0,4.7,9.0,15.0,Cloudy,Low,2,motorcycle,0.0,No,Metropolitian,16
24.0,4.7,13.0,215.0,Sunny,Medium,0,motorcycle,0.0,No,Urban,19
39.0,4.6,13.0,1365.0,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,27
39.0,4.2,12.0,15.0,Fog,Jam,2,scooter,1.0,No,Semi-Urban,49
32.0,4.5,1.0,15.0,Windy,Low,2,scooter,0.0,No,Metropolitian,20
36.0,4.7,9.0,5.0,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,30
25.0,4.8,11.0,10.0,Sandstorms,Low,1,scooter,0.0,No,Urban,18
33.0,4.9,4.0,1415.0,Sunny,Jam,2,scooter,0.0,No,Metropolitian,22
30.0,4.4,10.0,15.0,Cloudy,Low,2,scooter,1.0,No,Metropolitian,34
33.0,5.0,16.0,5.0,Sandstorms,Low,0,motorcycle,0.0,No,Urban,24
36.0,4.9,6.0,15.0,Fog,Medium,2,scooter,1.0,No,Metropolitian,17
21.0,4.8,2.0,10.0,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,14
39.0,4.9,7.0,35.0,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,30
23.0,4.8,3.0,10.0,Stormy,Low,1,scooter,1.0,No,Metropolitian,15
35.0,4.8,6.0,10.0,Fog,Medium,2,scooter,1.0,No,Urban,16
39.0,4.6,13.0,5.0,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,36
22.0,4.7,6.0,5.0,Sunny,High,1,scooter,1.0,No,Urban,18
32.0,4.6,6.0,15.0,Fog,Medium,1,scooter,0.0,No,Metropolitian,17
24.0,4.8,12.0,5.0,Sandstorms,Low,1,motorcycle,1.0,No,Urban,15
29.0,4.7,3.0,10.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,17
29.566910587697233,4.6337736972250205,6.0,1055.0,Fog,Low,1,scooter,0.0,No,Metropolitian,19
26.0,4.7,9.0,15.0,Fog,Low,1,motorcycle,0.0,No,Metropolitian,10
20.0,4.5,7.0,15.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,27
35.0,4.1,13.0,15.0,Sandstorms,Jam,1,motorcycle,2.0,No,Metropolitian,37
39.0,4.6,13.0,40.0,Fog,Jam,1,scooter,2.0,No,Metropolitian,44
34.0,4.7,6.0,10.0,Windy,High,2,electric_scooter,1.0,No,Metropolitian,28
27.0,4.7,17.0,1400.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,42
30.0,4.8,17.0,15.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,25
25.0,4.4,17.0,5.0,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,39
25.0,4.7,16.0,5.0,Stormy,Medium,0,motorcycle,0.0,No,Urban,20
30.0,5.0,2.0,5.0,Stormy,High,1,motorcycle,1.0,No,Metropolitian,31
24.0,4.6,9.0,10.0,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,13
39.0,4.8,7.0,15.0,Stormy,Jam,1,motorcycle,0.7446345675136238,No,Metropolitian,28
25.0,4.8,6.0,5.0,Windy,High,1,scooter,1.0,No,Urban,19
37.0,4.6,12.0,15.0,Fog,Low,0,motorcycle,2.0,Yes,Urban,42
24.0,5.0,1.0,5.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23
25.0,4.2,16.0,15.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,39
32.0,4.6,1.0,10.0,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,25
34.0,4.7,10.0,70.0,Sandstorms,Low,1,scooter,0.0,No,Metropolitian,15
38.0,4.9,3.0,15.0,Cloudy,Low,2,scooter,1.0,No,Urban,15
36.0,4.8,13.0,5.0,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,15
25.0,5.0,16.0,15.0,Stormy,Jam,1,motorcycle,0.7446345675136238,No,Metropolitian,15
29.0,5.0,7.0,5.0,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,18
36.0,4.7,13.0,10.0,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,29
33.0,4.7,7.0,5.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,20
36.0,4.4,6.0,15.0,Cloudy,High,2,scooter,1.0,No,Metropolitian,39
21.0,4.8,16.0,15.0,Windy,Low,0,motorcycle,0.0,No,Metropolitian,19
25.0,4.8,4.0,15.0,Cloudy,Low,1,scooter,1.0,No,Urban,19
23.0,4.8,19.0,1360.0,Windy,Low,0,motorcycle,0.0,No,Metropolitian,17
25.0,4.6,1.0,15.0,Stormy,Low,2,motorcycle,1.0,No,Urban,15
24.0,4.3,3.0,765.0,Sandstorms,Low,0,motorcycle,0.0,No,Urban,19
27.0,4.6,13.0,15.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,29
23.0,4.8,16.0,5.0,Cloudy,Low,2,scooter,1.0,No,Urban,22
21.0,4.3,20.0,10.0,Fog,Jam,1,scooter,0.0,No,Metropolitian,42
27.0,4.7,3.0,15.0,Sandstorms,Low,2,scooter,0.0,No,Urban,12
32.0,4.2,20.0,10.0,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,38
25.0,4.6,16.0,15.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,23
39.0,4.7,2.0,15.0,Cloudy,Low,1,scooter,0.0,No,Metropolitian,15
27.0,4.6,12.0,5.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,24
39.0,3.8,16.0,95.0,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,37
31.0,4.8,7.0,10.0,Sandstorms,Low,1,scooter,0.0,No,Metropolitian,24
31.0,4.8,9.0,5.0,Sunny,Low,2,electric_scooter,0.0,No,Metropolitian,13
20.0,4.8,1.0,15.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,16
36.0,4.9,12.0,10.0,Cloudy,Medium,0,motorcycle,1.0,No,Urban,42
20.0,4.9,13.0,10.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,17
24.0,4.6,4.0,15.0,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,25
29.566910587697233,4.6337736972250205,16.0,1230.0,Fog,Low,3,electric_scooter,0.0,No,Metropolitian,25
39.0,4.2,16.0,5.0,Fog,Medium,1,scooter,0.0,No,Metropolitian,39
37.0,4.8,6.0,10.0,Sunny,High,2,scooter,0.0,No,Metropolitian,18
32.0,4.9,6.0,280.0,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,28
22.0,4.5,7.0,15.0,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,18
23.0,4.9,20.0,140.0,Windy,Low,1,scooter,0.0,No,Metropolitian,18
33.0,4.7,16.0,10.0,Fog,Jam,1,scooter,1.0,No,Metropolitian,49
23.0,4.6337736972250205,4.0,10.0,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,15
27.0,4.6,12.0,5.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,21
34.0,4.7,6.0,15.0,Sunny,High,2,scooter,0.0,No,Metropolitian,23
26.0,5.0,1.0,10.0,Fog,Low,2,scooter,1.0,No,Urban,11
31.0,4.6,9.0,15.0,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,25
32.0,4.9,3.0,5.0,Fog,Low,2,motorcycle,0.0,No,Metropolitian,18
27.0,4.7,3.0,670.0,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,14
21.0,4.9,13.0,225.0,Windy,Medium,0,motorcycle,2.0,No,Metropolitian,36
28.0,4.8,7.0,5.0,Fog,Low,1,motorcycle,0.7446345675136238,No,Metropolitian,18
24.0,4.9,6.0,15.0,Fog,Medium,1,scooter,1.0,No,Urban,17
33.0,4.4,1.0,10.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,28
20.0,4.6,13.0,15.0,Fog,Jam,0,motorcycle,0.0,Yes,Metropolitian,44
31.0,4.3,9.0,15.0,Windy,Low,0,motorcycle,1.0,No,Metropolitian,20
29.566910587697233,4.6337736972250205,4.0,105.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,19
36.0,5.0,10.0,10.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,35
31.0,4.2,17.0,10.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,50
39.0,4.1,9.0,5.0,Stormy,Jam,1,scooter,1.0,No,Metropolitian,34
29.0,4.6,12.0,15.0,Sunny,Jam,2,electric_scooter,0.7446345675136238,No,Metropolitian,17
29.0,4.6,6.0,400.0,Sandstorms,High,1,scooter,0.0,No,Urban,23
37.0,4.9,4.0,10.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,27
33.0,4.7,6.0,10.0,Cloudy,High,0,motorcycle,0.0,No,Urban,26
31.0,3.9,10.0,10.0,Cloudy,Low,1,scooter,1.0,No,Metropolitian,35
37.0,4.6,6.0,5.0,Windy,High,0,motorcycle,1.0,No,Urban,41
26.0,4.4,9.0,10.0,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,23
24.0,4.6,17.0,220.0,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,30
23.0,4.8,3.0,10.0,Windy,Low,1,scooter,1.0,No,Metropolitian,19
36.0,4.9,1.0,15.0,Windy,Low,1,scooter,1.0,No,Metropolitian,27
39.0,4.8,6.0,15.0,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,28
20.0,4.7,12.0,10.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,24
20.0,5.0,20.0,15.0,Cloudy,Jam,0,motorcycle,1.0,No,Urban,36
29.0,4.3,9.0,5.0,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,28
36.0,4.8,17.0,5.0,Fog,Medium,2,motorcycle,1.0,No,Urban,31
36.0,4.0,13.0,5.0,Sunny,Jam,0,motorcycle,3.0,No,Metropolitian,44
22.0,4.8,12.0,15.0,Windy,Low,1,scooter,1.0,No,Metropolitian,15
38.0,4.4,10.0,5.0,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,33
39.0,4.9,7.0,15.0,Fog,Jam,0,motorcycle,0.0,No,Metropolitian,30
24.0,4.9,7.0,10.0,Stormy,Medium,1,scooter,1.0,No,Metropolitian,22
30.0,4.1,10.0,1300.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,43
35.0,4.8,13.0,10.0,Fog,Medium,0,motorcycle,3.0,No,Metropolitian,48
33.0,4.5,13.0,1305.0,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,19
39.0,4.7,10.0,5.0,Windy,Medium,1,motorcycle,1.0,No,Urban,21
31.0,4.3,12.0,10.0,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,44
37.0,4.5,1.0,15.0,Windy,Low,2,scooter,0.0,No,Metropolitian,26
37.0,4.7,4.0,5.0,Windy,Low,1,scooter,1.0,No,Metropolitian,26
33.0,5.0,1.0,5.0,Windy,High,1,motorcycle,1.0,No,Metropolitian,31
24.0,4.6,9.0,15.0,Stormy,Low,2,scooter,1.0,No,Urban,19
33.0,4.5,11.0,5.0,Sunny,Jam,1,scooter,0.0,No,Metropolitian,18
39.0,4.7,10.0,165.0,Fog,Medium,2,motorcycle,1.0,No,Metropolitian,38
37.0,4.6,13.0,10.0,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,32
25.0,4.9,7.0,5.0,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,17
28.0,4.8,9.0,1270.0,Fog,Medium,1,scooter,1.0,No,Urban,11
38.0,4.7,6.0,10.0,Windy,High,2,motorcycle,1.0,No,Metropolitian,31
29.566910587697233,4.6337736972250205,10.0,1195.0,Sandstorms,Medium,0,motorcycle,0.0,No,Metropolitian,43
31.0,4.6,9.0,10.0,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,25
25.0,4.8,9.0,15.0,Cloudy,Jam,2,motorcycle,1.0,No,Metropolitian,22
35.0,4.9,10.0,5.0,Fog,Jam,0,motorcycle,3.0,No,Metropolitian,43
39.0,4.7,10.0,10.0,Fog,Jam,0,motorcycle,1.0,Yes,Metropolitian,42
38.0,3.9,12.0,10.0,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,42
35.0,4.7,4.0,10.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,34
29.0,4.7,2.0,15.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,17
27.0,4.6,4.0,5.0,Stormy,Jam,1,scooter,0.0,No,Metropolitian,25
38.0,4.3,13.0,10.0,Sandstorms,Jam,0,motorcycle,1.0,Yes,Semi-Urban,54
36.0,4.9,10.0,80.0,Windy,Low,2,motorcycle,0.0,No,Metropolitian,21
26.0,4.0,6.0,1035.0,Cloudy,High,1,motorcycle,0.7446345675136238,No,Metropolitian,34
26.0,4.1,13.0,5.0,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,36
36.0,4.9,9.0,10.0,Sunny,Medium,1,motorcycle,0.0,No,Metropolitian,17
21.0,4.7,1.0,675.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,16
35.0,4.7,12.0,1330.0,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,27
20.0,4.5,6.0,5.0,Fog,High,2,motorcycle,1.0,No,Metropolitian,26
23.0,4.6,13.0,15.0,Fog,Jam,0,motorcycle,2.0,Yes,Metropolitian,46
37.0,5.0,9.0,10.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,29
26.0,4.8,9.0,5.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,23
29.0,5.0,12.0,15.0,Sandstorms,Low,1,scooter,0.7446345675136238,No,Urban,11
26.0,4.9,16.0,15.0,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,28
29.0,4.8,9.0,5.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,25
29.0,4.7,3.0,15.0,Sandstorms,Low,2,motorcycle,0.0,No,Metropolitian,11
21.0,4.9,4.0,10.0,Windy,Medium,1,scooter,1.0,No,Metropolitian,26
22.0,4.3,3.0,15.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,23
31.0,4.0,11.0,15.0,Fog,Medium,1,motorcycle,2.0,No,Metropolitian,39
20.0,4.5,3.0,760.0,Fog,Low,1,motorcycle,0.0,No,Metropolitian,11
30.0,3.9,12.0,15.0,Stormy,Jam,2,electric_scooter,0.7446345675136238,No,Metropolitian,32
36.0,4.8,10.0,15.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,43
24.0,4.7,6.0,10.0,Fog,Medium,1,scooter,0.7446345675136238,No,Metropolitian,13
32.0,4.7,1.0,10.0,Windy,Low,2,electric_scooter,0.0,No,Metropolitian,25
25.0,5.0,9.0,5.0,Windy,Medium,1,motorcycle,0.0,No,Metropolitian,27
27.0,4.5,6.0,15.0,Windy,Medium,2,scooter,1.0,No,Metropolitian,29
32.0,4.1,10.0,15.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,33
23.0,4.7,6.0,275.0,Fog,Medium,1,motorcycle,1.0,No,Urban,19
39.0,4.4,20.0,5.0,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,33
20.0,4.8,9.0,5.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,28
20.0,4.8,11.0,10.0,Windy,Medium,2,electric_scooter,0.0,No,Metropolitian,15
29.0,4.6,4.0,15.0,Stormy,Jam,1,scooter,1.0,No,Metropolitian,29
26.0,4.9,20.0,1355.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,18
25.0,5.0,1.0,635.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,14
34.0,4.7,6.0,1100.0,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,30
31.0,4.9,6.0,15.0,Sunny,High,0,motorcycle,0.0,No,Metropolitian,28
24.0,4.7,20.0,5.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,39
30.0,4.9,13.0,1280.0,Cloudy,Medium,2,motorcycle,0.0,No,Metropolitian,30
36.0,4.8,19.0,5.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,36
36.0,4.4,20.0,15.0,Fog,Low,0,motorcycle,0.7446345675136238,No,Metropolitian,37
26.0,4.7,20.0,5.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,43
30.0,4.6,16.0,10.0,Sunny,Low,2,scooter,1.0,No,Metropolitian,29
20.0,4.8,4.0,1220.0,Stormy,Medium,2,scooter,1.0,No,Metropolitian,25
33.0,4.7,7.0,15.0,Fog,Medium,2,electric_scooter,1.0,No,Urban,15
29.566910587697233,4.6337736972250205,10.0,1375.0,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,24
34.0,4.0,13.0,5.0,Windy,Jam,0,motorcycle,2.0,No,Metropolitian,39
36.0,4.6,12.0,10.0,Windy,Low,0,motorcycle,1.0,No,Metropolitian,20
33.0,4.6,2.0,795.0,Fog,Low,1,motorcycle,1.0,No,Metropolitian,15
22.0,4.8,16.0,1365.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,16
38.0,4.7,1.0,800.0,Sunny,Low,2,scooter,1.0,No,Metropolitian,19
27.0,4.9,12.0,15.0,Fog,Low,2,scooter,0.0,No,Metropolitian,20
32.0,4.8,10.0,1395.0,Sunny,Jam,2,scooter,1.0,No,Metropolitian,25
26.0,4.8,12.0,10.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,43
29.0,4.5,19.0,10.0,Windy,Low,0,motorcycle,0.0,No,Urban,15
31.0,4.5,12.0,15.0,Sunny,Jam,0,motorcycle,0.0,No,Urban,29
28.0,4.6,6.0,15.0,Stormy,High,2,motorcycle,0.0,No,Metropolitian,14
21.0,4.8,8.0,155.0,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,11
21.0,4.0,7.0,5.0,Sandstorms,Low,0,motorcycle,0.7446345675136238,No,Metropolitian,19
30.0,4.9,12.0,10.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,29
29.0,4.7,5.0,5.0,Cloudy,Medium,2,motorcycle,1.0,No,Urban,11
20.0,4.8,1.0,10.0,Sunny,High,1,motorcycle,0.0,No,Metropolitian,14
28.0,5.0,13.0,10.0,Windy,Low,0,motorcycle,0.0,No,Urban,15
25.0,4.7,10.0,10.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,16
29.566910587697233,4.6337736972250205,16.0,1410.0,Fog,Low,3,motorcycle,1.0,Yes,Urban,43
38.0,4.8,3.0,5.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,20
39.0,4.9,4.0,10.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,26
26.0,4.9,9.0,5.0,Windy,Medium,1,scooter,0.0,No,Metropolitian,26
33.0,4.4,10.0,15.0,Windy,Jam,1,motorcycle,0.0,No,Urban,43
24.0,4.6,9.0,10.0,Sandstorms,Medium,0,motorcycle,1.0,No,Urban,25
24.0,4.9,6.0,10.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,28
33.0,4.5,13.0,15.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,17
35.0,4.2,13.0,10.0,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,44
27.0,4.2,13.0,5.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,33
29.566910587697233,4.6337736972250205,7.0,5.0,Cloudy,Medium,1,scooter,1.0,No,Urban,19
29.0,4.5,4.0,5.0,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,15
34.0,4.7,19.0,10.0,Fog,Low,1,scooter,1.0,No,Metropolitian,27
20.0,4.7,2.0,15.0,Cloudy,High,2,scooter,1.0,No,Metropolitian,25
29.0,4.8,6.0,5.0,Sunny,High,1,motorcycle,1.0,No,Metropolitian,18
22.0,4.9,9.0,5.0,Stormy,Medium,2,scooter,0.0,No,Metropolitian,21
35.0,4.9,10.0,15.0,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,53
32.0,4.4,17.0,10.0,Sandstorms,Jam,0,motorcycle,3.0,No,Metropolitian,42
28.0,4.9,16.0,15.0,Sunny,Jam,2,motorcycle,1.0,No,Metropolitian,20
30.0,4.7,20.0,10.0,Fog,Low,1,scooter,0.0,No,Metropolitian,29
22.0,4.7,17.0,10.0,Stormy,Jam,2,scooter,0.0,No,Urban,15
36.0,4.7,7.0,15.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,30
23.0,4.8,19.0,5.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,28
22.0,4.8,3.0,730.0,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,19
29.0,4.5,19.0,10.0,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,15
34.0,4.9,17.0,15.0,Sandstorms,Jam,0,motorcycle,3.0,Yes,Urban,50
38.0,4.1,1.0,5.0,Stormy,High,0,motorcycle,1.0,Yes,Metropolitian,41
35.0,5.0,10.0,10.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,37
38.0,4.7,9.0,15.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,28
32.0,4.3,10.0,15.0,Cloudy,Medium,1,scooter,2.0,No,Metropolitian,35
20.0,4.5,10.0,10.0,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,27
25.0,4.9,12.0,5.0,Fog,Jam,0,motorcycle,2.0,No,Metropolitian,43
29.0,4.5,8.0,10.0,Fog,Low,2,scooter,0.0,No,Metropolitian,12
32.0,4.7,8.0,15.0,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,31
39.0,4.1,20.0,5.0,Cloudy,Jam,1,motorcycle,2.0,No,Metropolitian,39
31.0,4.4,16.0,5.0,Stormy,Jam,0,motorcycle,1.0,No,Urban,47
37.0,4.5,7.0,5.0,Fog,Low,0,motorcycle,1.0,No,Urban,26
36.0,4.9,13.0,15.0,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,31
37.0,3.8,20.0,10.0,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,42
29.566910587697233,4.6337736972250205,9.0,10.0,Stormy,Jam,2,scooter,0.0,No,Urban,12
38.0,4.9,6.0,10.0,Cloudy,High,2,scooter,0.7446345675136238,No,Metropolitian,25
37.0,4.4,11.0,15.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,39
21.0,4.9,13.0,10.0,Fog,Low,2,scooter,1.0,No,Metropolitian,21
35.0,4.9,4.0,5.0,Fog,Medium,2,electric_scooter,0.0,No,Metropolitian,18
22.0,4.8,13.0,15.0,Sandstorms,Jam,1,scooter,1.0,No,Urban,22
28.0,4.8,3.0,15.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23
39.0,4.0,20.0,10.0,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,48
29.0,4.5,12.0,15.0,Windy,Low,1,scooter,0.0,No,Urban,13
39.0,4.6,3.0,10.0,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,32
25.0,4.9,20.0,5.0,Sandstorms,Jam,2,electric_scooter,0.0,No,Urban,16
34.0,5.0,4.0,5.0,Cloudy,Medium,2,electric_scooter,0.0,No,Urban,19
22.0,4.8,3.0,5.0,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,18
